sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2010-09-02;4179,310;4154,270;4169,060;;1;486707648;0
2010-09-01;4158,980;4044,590;4158,980;;1;497934944;0
2010-08-31;4045,370;3987,110;4045,370;;1;458884096;0
2010-08-30;4050,000;4019,940;4033,230;;1;246294880;0
2010-08-27;4021,700;3960,800;4021,700;;1;440623808;0
2010-08-26;4018,520;3986,900;4006,360;;1;361418240;0
2010-08-25;4033,480;3947,870;3975,940;;1;461476672;0
2010-08-24;4066,720;3989,650;4011,430;;1;441414784;0
2010-08-23;4108,550;4070,740;4083,800;;1;435942560;0
2010-08-20;4153,280;4072,340;4083,270;;1;524602272;0
2010-08-19;4220,520;4144,230;4144,230;;1;528780160;0
2010-08-18;4190,490;4160,870;4179,640;;1;318767328;0
2010-08-17;4184,820;4125,790;4184,820;;1;394586272;0
2010-08-16;4151,920;4091,040;4118,570;;1;339704320;0
2010-08-13;4141,080;4083,190;4132,790;;1;402832704;0
2010-08-12;4133,130;4069,010;4093,630;;1;433055936;0
2010-08-11;4192,500;4098,050;4099,620;;1;490747648;0
2010-08-10;4242,870;4193,520;4201,590;;1;360070912;0
2010-08-09;4255,830;4228,500;4251,820;;1;305813376;0
2010-08-06;4264,380;4192,260;4204,550;;1;412420480;0
2010-08-05;4253,370;4219,720;4231,950;;1;440919232;0
2010-08-04;4219,330;4175,280;4208,740;;1;394742944;0
2010-08-03;4224,540;4194,810;4216,270;;1;423956672;0
2010-08-02;4203,470;4138,270;4203,470;;1;405192448;0
2010-07-30;4134,270;4076,860;4101,790;;1;423636032;0
2010-07-29;4167,250;4107,150;4133,050;;1;526186272;0
2010-07-28;4152,240;4115,160;4130,200;;1;371735840;0
2010-07-27;4159,720;4121,260;4126,990;;1;546748928;0
